Método,Média,Desvio,Mínimo,Máximo,Mediana
StackingRegressor,39.19428368627452,135.01041646965956,0.2125,1662.2733,4.765
Mean,48785695766378.16,1079765914086648.8,0.3,3.727933997315036e+16,8.66
Median,49560139487885.195,1095818247907185.9,0.07,3.776388576131687e+16,8.44
KNNImputer,48785695766378.16,1079765914086648.8,0.3,3.727933997315036e+16,8.66
ForwardFill,7061736206619.76,312370812377615.3,0.46,1.465815349436394e+16,7.25
BackwardFill,49449107699670.08,1093396956084856.8,0.38,3.7679812633744856e+16,7.2
RollingMean,28419059720204.473,613452149817347.5,0.35,1.9000632962962964e+16,7.28
LinearInterpolation,28261096673343.47,610232802588148.5,0.43,1.8839906316872428e+16,6.72
