Método,Média,Desvio,Mínimo,Máximo,Mediana
StackingRegressor,577.4071246535947,2185.699228256615,2.56,23550.87,37.7
Mean,395.9348986919723,789.165528457188,3.01,3830.53,73.75
Median,428.4020159015132,883.5336234175818,0.99,5072.35,74.95
KNNImputer,395.9348986919723,789.165528457188,3.01,3830.53,73.75
ForwardFill,373.00983072582716,663.0379721803542,5.93,3659.99,84.07
BackwardFill,377.41234932033854,674.915132591647,4.64,3567.96,85.51
RollingMean,355.23043857399335,631.149350433185,5.38,3842.82,79.45
LinearInterpolation,327.37625032059503,582.9189281659606,5.09,3331.12,73.63
