Método,Média,Desvio,Mínimo,Máximo,Mediana
StackingRegressor,14.292195895424836,37.1989020973063,0.2767,370.925,4.4433
Mean,16.68625288535522,20.47928098262204,0.33,118.73,8.3
Median,17.844603744549886,23.383719475580452,0.11,129.18,8.49
KNNImputer,16.68625288535522,20.47928098262204,0.33,118.73,8.3
ForwardFill,16.818061041292637,15.429871093595821,0.65,75.35,9.72
BackwardFill,16.976645293665044,15.476444868268828,0.52,70.97,10.04
RollingMean,16.0564144652475,14.680070407339967,0.6,79.28,9.2
LinearInterpolation,14.733316234932033,13.35760866179276,0.57,68.73,8.54
