method,count,rmse_mean,rmse_std,rmse_median,rmse_min,rmse_max,rmse_q1,rmse_q3,nrmse_mean,nrmse_std,nrmse_median,nrmse_min,nrmse_max,nrmse_q1,nrmse_q3,r2_mean,r2_std,r2_median,r2_min,r2_max,r2_q1,r2_q3,mape_mean,mape_std,mape_median,mape_min,mape_max,mape_q1,mape_q3,rmse_rank,nrmse_rank,r2_rank,mape_rank,overall_rank
StackingRegressor,3483,80.797065862762,150.39260310958284,32.05,2.5875,979.0175,15.57,54.3275,5.483635314384151,6.36872355768163,3.6267,0.28,67.9067,1.732,6.8759999999999994,0.2606755383290267,1.3287100061859745,0.6815,-9.8813,0.9752,0.262,0.84775,25.24813043353431,86.88316173230449,3.2467,0.205,885.87,0.99,11.8,1.0,1.0,1.0,1.0,1.0
Mean,3430,114.75790379008745,174.65011398498677,55.9,3.49,998.24,28.625,115.9925,10.593122448979592,10.772492426373859,6.125,0.38,70.8,3.15,14.26,-0.04867538730456375,0.29968153481751486,-0.0037258912076806316,-9.974479185709653,-2.655204944801426e-10,-0.015228633304596728,-0.0007845785090294655,36.81621865889213,105.32693319129918,3.825,0.3,994.89,1.66,24.737499999999997,3.5,2.5,2.5,7.5,4.0
KNNImputer,3430,114.75790379008745,174.65011398498677,55.9,3.49,998.24,28.625,115.9925,10.593122448979592,10.772492426373859,6.125,0.38,70.8,3.15,14.26,-0.04867538730456375,0.29968153481751486,-0.0037258912076806316,-9.974479185709653,-2.655204944801426e-10,-0.015228633304596728,-0.0007845785090294655,36.81621865889213,105.32693319129918,3.825,0.3,994.89,1.66,24.737499999999997,3.5,2.5,2.5,7.5,4.0
Median,3426,114.37006713368359,171.18842911805663,56.455,0.99,999.22,28.8625,117.89,10.657157034442498,10.664427898248402,6.17,0.11,75.09,3.17,14.2575,-0.08202133036713648,0.16990522660372967,-0.0439930925216141,-4.883035390579621,-8.540757656660958e-09,-0.09710512561656065,-0.01657981925789037,36.47253064798599,105.1364557548372,3.2350000000000003,0.07,989.94,1.46,23.337500000000002,2.0,4.0,4.0,6.0,4.0
LinearInterpolation,3435,121.96645414847163,180.78066694592314,61.24,5.09,999.47,34.805,124.165,11.236765647743816,10.769063425958633,6.84,0.57,59.31,3.825,14.465,-0.4186404874948859,1.0818982366927554,-0.17699289603114865,-9.759183061435277,0.8705254387389302,-0.4765790215560526,0.03809081945399628,35.489112081513824,107.56101075019123,3.68,0.43,988.97,1.8,21.134999999999998,5.0,5.0,5.0,4.0,4.75
ForwardFill,3345,124.65126158445442,173.97581114648605,68.64,5.93,999.73,37.01,136.38,12.32314798206278,11.972353514233589,7.69,0.65,61.48,4.07,15.9,-0.7912799708900423,1.3850892257060718,-0.4072186922489347,-9.902485298792621,0.8388362836311255,-0.880462404586299,-0.10852017688224125,34.58181464872945,103.57765175099465,3.79,0.46,992.11,1.91,21.15,7.0,7.0,7.0,2.0,5.75
RollingMean,3380,124.8148698224852,178.09813357319587,65.84,5.38,993.84,36.1125,133.5925,11.973437869822485,11.59088260102894,7.32,0.6,62.55,3.9575,15.6025,-0.6525497404391538,1.2442061835756228,-0.3419411079446948,-9.953897893102187,0.8438678847031854,-0.7366450274183044,-0.08237731104811352,35.44578698224852,107.21476264642928,3.75,0.35,995.25,1.84,21.375,8.0,6.0,6.0,3.0,5.75
BackwardFill,3343,123.45291055937781,164.29575408678588,68.26,4.64,994.62,38.95,137.03500000000003,12.542443912653304,12.056292065813269,7.63,0.52,68.01,4.28,16.064999999999998,-0.7998586824430104,1.2617229687991487,-0.4479601902740433,-9.927980717272359,0.8408929912353782,-0.9433390408496662,-0.1336990405710472,36.0407867185163,107.90305393742024,3.95,0.38,991.46,1.95,21.375,6.0,8.0,8.0,5.0,6.75
