link,missing_rate,method_type,method,rmse,nrmse,r2,mape
ap-ac,0.2,baseline,RollingMean,104.28,13.96,-0.07964414492195271,10.03
ap-ac,0.2,baseline,LinearInterpolation,93.52,12.52,0.13166036110940538,8.93
ap-ac,0.2,stacking,StackingRegressor,45.996,6.31,0.7772,19.506
ap-ac,0.25,baseline,Mean,105.62,14.28,-0.0006967755819435872,12.37
ap-ac,0.25,baseline,Median,106.27,14.37,-0.013207250451708896,12.54
ap-ac,0.25,baseline,KNNImputer,105.62,14.28,-0.0006967755819435872,12.37
ap-ac,0.25,baseline,ForwardFill,113.99,15.41,-0.1656094023361534,11.55
ap-ac,0.25,baseline,BackwardFill,115.25,15.58,-0.1915270966681235,11.24
ap-ac,0.25,baseline,RollingMean,108.96,14.73,-0.06501864527587076,11.11
ap-ac,0.25,baseline,LinearInterpolation,98.35,13.29,0.13233984703912038,9.89
ap-ac,0.25,stacking,StackingRegressor,44.2675,6.17,0.7711,8.515
ap-ac,0.3,baseline,Mean,109.31,14.82,-0.003284202233359901,120.15
ap-ac,0.3,baseline,Median,110.31,14.96,-0.021611809629664913,121.78
ap-ac,0.3,baseline,KNNImputer,109.31,14.82,-0.003284202233359901,120.15
ap-ac,0.3,baseline,ForwardFill,117.26,15.9,-0.1544168155248784,123.3
ap-ac,0.3,baseline,BackwardFill,122.0,16.54,-0.2497334828438662,120.82
ap-ac,0.3,baseline,RollingMean,109.93,14.9,-0.0145889288687997,122.19
ap-ac,0.3,baseline,LinearInterpolation,104.07,14.11,0.09071760794298978,120.65
ap-ac,0.3,stacking,StackingRegressor,40.8833,5.65,0.8294,21.0
ap-ac,0.35,baseline,Mean,108.82,14.72,-0.0012817533123063996,104.71
ap-ac,0.35,baseline,Median,109.58,14.82,-0.015355970402233465,106.09
ap-ac,0.35,baseline,KNNImputer,108.82,14.72,-0.0012817533123063996,104.71
ap-ac,0.35,baseline,ForwardFill,112.05,15.15,-0.0616767728244052,106.88
ap-ac,0.35,baseline,BackwardFill,119.65,16.18,-0.21059059294267635,104.87
ap-ac,0.35,baseline,RollingMean,110.35,14.93,-0.029735450040038636,106.59
ap-ac,0.35,baseline,LinearInterpolation,100.17,13.55,0.15150356565834056,104.47
ap-ac,0.35,stacking,StackingRegressor,40.8833,5.65,0.8294,21.0
ap-ac,0.4,baseline,Mean,111.07,15.03,-0.0021670903841291,93.67
ap-ac,0.4,baseline,Median,111.84,15.14,-0.016023394918875278,94.82
ap-ac,0.4,baseline,KNNImputer,111.07,15.03,-0.0021670903841291,93.67
ap-ac,0.4,baseline,ForwardFill,119.01,16.11,-0.15062221798438236,95.56
ap-ac,0.4,baseline,BackwardFill,116.3,15.74,-0.09871863836608741,93.17
ap-ac,0.4,baseline,RollingMean,114.9,15.55,-0.0725196565018622,95.1
ap-ac,0.4,baseline,LinearInterpolation,101.13,13.69,0.16923522874852415,92.94
ap-ac,0.4,stacking,StackingRegressor,40.8833,5.65,0.8294,21.0
ap-ac,0.45,baseline,Mean,110.82,14.99,-0.0016530634099953811,84.66
ap-ac,0.45,baseline,Median,111.59,15.09,-0.015586048531375907,85.74
ap-ac,0.45,baseline,KNNImputer,110.82,14.99,-0.0016530634099953811,84.66
ap-ac,0.45,baseline,ForwardFill,119.19,16.12,-0.15873517923757463,87.8
ap-ac,0.45,baseline,BackwardFill,115.92,15.68,-0.09598341406606847,84.35
ap-ac,0.45,baseline,RollingMean,117.1,15.84,-0.11845447760375594,87.54
ap-ac,0.45,baseline,LinearInterpolation,100.15,13.54,0.18199482494267383,83.75
ap-ac,0.45,stacking,StackingRegressor,40.8833,5.65,0.8294,21.0
ap-ac,0.5,baseline,Mean,110.12,14.84,-3.795119833949201e-07,77.15
ap-ac,0.5,baseline,Median,110.58,14.91,-0.008373101288154938,78.17
ap-ac,0.5,baseline,KNNImputer,110.12,14.84,-3.795119833949201e-07,77.15
ap-ac,0.5,baseline,ForwardFill,119.05,16.05,-0.16875582417397106,80.22
ap-ac,0.5,baseline,BackwardFill,113.56,15.31,-0.0633411953770926,77.02
ap-ac,0.5,baseline,RollingMean,118.06,15.91,-0.14940514034063845,80.03
ap-ac,0.5,baseline,LinearInterpolation,101.39,13.67,0.1522984059498782,76.53
ap-ac,0.5,stacking,StackingRegressor,40.8833,5.65,0.8294,21.0
ba-ac,0.2,baseline,Mean,85.38,11.21,-2.964708919606096e-05,9.38
ba-ac,0.2,baseline,Median,85.38,11.21,-7.195509870849826e-05,9.37
ba-ac,0.2,baseline,KNNImputer,85.38,11.21,-2.964708919606096e-05,9.38
ba-ac,0.2,baseline,ForwardFill,80.97,10.63,0.10068104723871485,7.95
ba-ac,0.2,baseline,BackwardFill,88.49,11.62,-0.07410868527608905,8.48
ba-ac,0.2,baseline,RollingMean,80.45,10.56,0.11220407561623602,7.64
ba-ac,0.2,baseline,LinearInterpolation,72.47,9.52,0.27949766318799496,7.18
ba-ac,0.2,stacking,StackingRegressor,39.224,5.216,0.7414,12.388
ba-ac,0.25,baseline,Mean,94.45,12.46,-0.0028016733231148727,73.72
ba-ac,0.25,baseline,Median,94.38,12.45,-0.001345913698833634,73.57
ba-ac,0.25,baseline,KNNImputer,94.45,12.46,-0.0028016733231148727,73.72
ba-ac,0.25,baseline,ForwardFill,87.57,11.55,0.1379261869174453,64.2
ba-ac,0.25,baseline,BackwardFill,84.56,11.15,0.19614872869198108,64.65
ba-ac,0.25,baseline,RollingMean,87.93,11.6,0.13077298047222097,63.97
ba-ac,0.25,baseline,LinearInterpolation,77.77,10.26,0.320126405984384,63.58
ba-ac,0.25,stacking,StackingRegressor,43.5475,5.855,0.6598,9.7325
ba-ac,0.3,baseline,Mean,95.33,12.59,-0.004686020902795018,63.42
ba-ac,0.3,baseline,Median,95.22,12.57,-0.002356566015017103,63.26
ba-ac,0.3,baseline,KNNImputer,95.33,12.59,-0.004686020902795018,63.42
ba-ac,0.3,baseline,ForwardFill,102.01,13.47,-0.1502435613130575,55.81
ba-ac,0.3,baseline,BackwardFill,86.9,11.47,0.16529018604869194,55.58
ba-ac,0.3,baseline,RollingMean,97.14,12.83,-0.04309524342625504,55.52
ba-ac,0.3,baseline,LinearInterpolation,85.03,11.23,0.20067602227760417,54.89
ba-ac,0.3,stacking,StackingRegressor,46.09,6.29,0.6307,13.0433
ba-ac,0.35,baseline,Mean,93.72,12.35,-0.0023604318116681178,55.6
ba-ac,0.35,baseline,Median,93.67,12.34,-0.0012735849861502668,55.51
ba-ac,0.35,baseline,KNNImputer,93.72,12.35,-0.0023604318116681178,55.6
ba-ac,0.35,baseline,ForwardFill,98.64,13.0,-0.11025531844495684,48.78
ba-ac,0.35,baseline,BackwardFill,89.66,11.81,0.08273536816019611,48.99
ba-ac,0.35,baseline,RollingMean,94.73,12.48,-0.02410970949739788,48.6
ba-ac,0.35,baseline,LinearInterpolation,84.99,11.2,0.17569642226713222,48.07
ba-ac,0.35,stacking,StackingRegressor,46.09,6.29,0.6307,13.0433
ba-ac,0.4,baseline,Mean,101.46,13.38,-0.003711394022187786,67.04
ba-ac,0.4,baseline,Median,101.3,13.36,-0.0006694215418012739,66.73
ba-ac,0.4,baseline,KNNImputer,101.46,13.38,-0.003711394022187786,67.04
ba-ac,0.4,baseline,ForwardFill,95.86,12.64,0.10396924500055194,60.94
ba-ac,0.4,baseline,BackwardFill,96.4,12.71,0.09389173116080185,59.39
ba-ac,0.4,baseline,RollingMean,94.87,12.51,0.12238817491468668,61.11
ba-ac,0.4,baseline,LinearInterpolation,88.91,11.73,0.22912885830115182,59.48
ba-ac,0.4,stacking,StackingRegressor,46.09,6.29,0.6307,13.0433
ba-ac,0.45,baseline,Mean,99.68,13.09,-1.1332028180266462e-05,60.34
ba-ac,0.45,baseline,Median,99.73,13.09,-0.0010421384189218674,60.08
ba-ac,0.45,baseline,KNNImputer,99.68,13.09,-1.1332028180266462e-05,60.34
ba-ac,0.45,baseline,ForwardFill,94.45,12.4,0.10210050845077157,55.06
ba-ac,0.45,baseline,BackwardFill,95.13,12.49,0.08915047069906035,55.13
ba-ac,0.45,baseline,RollingMean,93.41,12.26,0.12182942926517726,55.22
ba-ac,0.45,baseline,LinearInterpolation,87.67,11.51,0.22642913500195427,54.74
ba-ac,0.45,stacking,StackingRegressor,46.09,6.29,0.6307,13.0433
ba-ac,0.5,baseline,Mean,99.89,13.1,-0.00010535016246193685,55.43
ba-ac,0.5,baseline,Median,99.94,13.11,-0.0011371077839215094,55.27
ba-ac,0.5,baseline,KNNImputer,99.89,13.1,-0.00010535016246193685,55.43
