method,count,rmse_mean,rmse_std,rmse_median,rmse_min,rmse_max,rmse_q1,rmse_q3,nrmse_mean,nrmse_std,nrmse_median,nrmse_min,nrmse_max,nrmse_q1,nrmse_q3,r2_mean,r2_std,r2_median,r2_min,r2_max,r2_q1,r2_q3,mape_mean,mape_std,mape_median,mape_min,mape_max,mape_q1,mape_q3,rmse_rank,nrmse_rank,r2_rank,mape_rank,overall_rank
StackingRegressor,1966,83.9119023397762,164.93929714855759,20.04,1.8,992.57,9.46,40.5875,4.084216683621566,5.821857688346145,2.32,0.19,81.76,1.04,4.9,0.7073360147685683,0.7608081427020374,0.9069450333056923,-9.895516134119895,0.995924885001048,0.7246894954698274,0.9591666560820535,9.791052899287894,45.48990003004245,1.585,0.15,861.1,0.56,5.6875,1.0,1.0,1.0,1.0,1.0
Mean,1737,108.30329879101899,171.2735636306185,46.83,3.8,998.18,23.0,108.82,9.537783534830167,9.968719982593788,5.18,0.43,70.8,2.54,13.38,-0.05358050246195905,0.19652561166688895,-0.004261910435695571,-2.8413801491110697,-2.655204944801426e-10,-0.019006571975881625,-0.0009079367015696338,27.401537132987915,85.6178095127292,2.93,0.34,976.82,1.38,22.0,3.5,2.5,2.5,5.5,3.5
KNNImputer,1737,108.30329879101899,171.2735636306185,46.83,3.8,998.18,23.0,108.82,9.537783534830167,9.968719982593788,5.18,0.43,70.8,2.54,13.38,-0.05358050246195905,0.19652561166688895,-0.004261910435695571,-2.8413801491110697,-2.655204944801426e-10,-0.019006571975881625,-0.0009079367015696338,27.401537132987915,85.6178095127292,2.93,0.34,976.82,1.38,22.0,3.5,2.5,2.5,5.5,3.5
Median,1741,107.6253762205629,167.00254721073193,47.08,3.79,965.25,23.07,110.25,9.599563469270533,9.896968753056997,5.2,0.42,58.97,2.53,13.56,-0.07875882448611986,0.14867260865806783,-0.04225389227853893,-2.363681761626884,-2.4027164480244778e-08,-0.09126617660226577,-0.014953561820094663,27.374141298104536,87.12126616033552,2.51,0.33,984.62,1.16,19.89,2.0,4.0,4.0,4.0,3.5
LinearInterpolation,1726,116.99804171494786,180.6845231356095,55.92,5.09,999.47,26.665,118.47,10.369507531865587,10.288063236034219,6.17,0.57,53.46,2.91,13.875,-0.5082348914412349,1.1326623437136747,-0.2454457320035227,-9.452612551142815,0.8694668693623558,-0.5776713044617567,0.007998418596805001,26.438151796060254,86.95900952599207,2.93,0.43,988.97,1.42,18.29,5.0,5.0,5.0,2.0,4.25
BackwardFill,1684,120.43508313539192,168.43949475311516,64.065,4.64,994.62,31.4225,131.53,11.692007125890736,11.496437357063312,7.0649999999999995,0.52,61.54,3.41,15.5725,-0.9603788307953178,1.3887329670010617,-0.535774640458534,-9.201198834570668,0.8408929912353782,-1.1453748145718294,-0.18539200201316153,27.328586698337293,90.63659415632995,3.12,0.38,986.53,1.54,19.18,6.0,8.0,8.0,3.0,6.25
RollingMean,1718,122.12314318975552,182.6009507225835,60.415000000000006,5.38,993.84,28.055,127.2325,11.150244470314318,11.072435557601624,6.63,0.6,58.02,3.0925,15.22,-0.7571167665641279,1.327020686736401,-0.4027299392586684,-9.953897893102187,0.8438678847031854,-0.8332092101875572,-0.11610607529730305,29.143568102444704,99.01720229768428,3.0549999999999997,0.35,988.76,1.4525,19.450000000000003,7.0,6.0,6.0,8.0,6.75
ForwardFill,1692,122.86644208037826,181.37051058826376,63.715,5.93,999.73,29.04,130.125,11.521920803782503,11.560120238453027,7.04,0.65,60.74,3.1775,15.585,-0.8978948795165693,1.4083066594348772,-0.49200542297768146,-9.863618889699866,0.8388362836311255,-1.0449748417134677,-0.15912924446822124,27.606802600472808,91.73674239509697,3.1550000000000002,0.46,992.11,1.49,19.075000000000003,8.0,7.0,7.0,7.0,7.25
