Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,mask_applied
2024-01-15 18:00:00,7.0,8.0,100.0,3169938120.0,0
2024-01-16 00:00:00,7.0,8.0,100.0,3110290706.6790504,1
2024-01-16 06:00:00,7.0,8.0,100.0,3089630020.884438,1
2024-01-16 12:00:00,7.0,8.0,100.0,3075543738.4746933,1
2024-01-16 18:00:00,7.0,8.0,100.0,3075543738.4746933,1
2024-01-17 00:00:00,7.0,8.0,20.0,3659493912.0,0
2024-01-17 06:00:00,7.0,8.0,100.0,3084585966.7221956,1
2024-01-17 12:00:00,41.96,9.0,100.0,3605433453.0,0
2024-01-17 18:00:00,5.5,8.0,100.0,3963419058.0,0
2024-01-18 00:00:00,7.0,8.0,100.0,3070320587.2047176,1
2024-01-18 06:00:00,6.31,8.0,100.0,1507280545.0,0
2024-01-18 12:00:00,4.86,8.0,100.0,609754047.0,0
2024-01-18 18:00:00,5.07,9.0,100.0,2407315899.0,0
2024-01-19 00:00:00,7.0,8.0,100.0,3092277518.5909276,1
2024-01-19 06:00:00,18.66,8.0,100.0,2276689690.5,0
2024-01-19 12:00:00,27.0,9.0,100.0,2828277518.5,0
2024-01-19 18:00:00,7.13,8.0,100.0,3066213130.0,0
2024-01-20 00:00:00,8.68,8.0,100.0,2893753595.0,0
2024-01-20 06:00:00,9.55,8.0,100.0,3072648858.0,0
2024-01-20 12:00:00,28.64,9.0,100.0,3201292826.5,0
2024-01-20 18:00:00,4.99,8.0,100.0,3209719080.0,0
2024-01-21 00:00:00,5.45,8.0,100.0,3413496218.0,0
2024-01-21 06:00:00,7.0,7.0,100.0,3859198888.0,0
2024-01-21 12:00:00,6.12,7.0,100.0,2523590821.0,0
2024-01-21 18:00:00,4.69,8.0,100.0,3694718093.0,0
2024-01-22 00:00:00,7.0,8.0,100.0,3075383790.7438583,1
2024-01-22 06:00:00,7.51,8.0,100.0,3384228641.0,0
2024-01-22 12:00:00,5.91,8.0,100.0,3973250902.5,0
2024-01-22 18:00:00,5.33,8.0,100.0,2428599992.0,0
2024-01-23 00:00:00,7.0,8.0,100.0,3072711991.1187367,1
2024-01-23 06:00:00,7.0,8.0,100.0,3087218874.084491,1
2024-01-23 12:00:00,4.67,8.0,100.0,2342203585.0,0
2024-01-23 18:00:00,9.5,7.0,100.0,3866215588.0,0
2024-01-24 00:00:00,7.0,8.0,100.0,3074592032.4787345,1
2024-01-24 06:00:00,6.25,8.0,100.0,3080410340.0,0
2024-01-24 12:00:00,7.0,8.0,100.0,3090503772.619395,1
2024-01-24 18:00:00,13.08,7.0,100.0,3219339168.5,0
2024-01-25 00:00:00,7.0,8.0,100.0,3087855329.953839,1
2024-01-25 06:00:00,14.5,7.0,100.0,3050038882.0,0
